record_id,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
REC100023,MCH2833,Kapoor-Shankar,7011,Hotel/Lodging,Sole Proprietor,Jalandhar,Punjab,,VEQH1532066637768,Active,474.69
REC100024,MCH2849,"Bhavsar, Kota and Zacharia",7011,Hotel/Lodging,Private Limited,Ludhiana,Punjab,2025-09-23,,Active,2432.18
REC100025,MCH6397,"Suri, Agrawal and Natarajan",5942,Books & Stationery,Partnership,Delhi,Delhi,2024-08-19,,Active,547.0
REC100026,MCH2749,Issac and Sons,5912,Pharmacy,Sole Proprietor,Mumbai,Maharashtra,2025-03-09,1616970087,Active,
REC100027,MCH5089,Korpal-Parmer,5311,Department Store,Private Limited,Jaipur,Rajasthan,2024-06-14,,Active,3730.0
REC100028,MCH5112,Nigam-Chawla,4131,Transportation,Private Limited,Chennai,Tamil Nadu,2025-09-06,,Disabled,353.3
REC100029,MCH9951,Natt Group,5912,Pharmacy,Partnership,Chennai,Tamil Nadu,2024-02-05,TSMH8783182679043,Active,1765.37
REC100030,MCH4962,Venkataraman-Mannan,5942,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2025-07-15,8238766790,Active,266.61
REC100031,MCH1541,Bhattacharyya-Hans,7011,Hotel/Lodging,Private Limited,Kolkata,West Bengal,2024-03-24,XXXX2848,Active,621.01
REC100032,MCH3442,Kuruvilla Ltd,5411,Grocery Store,Partnership,Hyderabad,Telangana,2023-11-04,,Disabled,1281.68
REC100033,MCH9993,Chadha-Tailor,5942,Books & Stationery,Private Limited,Ludhiana,Punjab,2026-01-05,,Inactive,2368.65
REC100034,MCH8365,Som-Dhar,5999,Miscellaneous Retail,Individual,Pune,Maharashtra,2025-08-30,,Active,269.48
REC100035,MCH2536,Divan-Radhakrishnan,4131,Transportation,Private Limited,Pune,Maharashtra,2025-07-09,NWSY9894058484946,Active,
REC100036,MCH6777,Lall-Date,5411,Grocery Store,Partnership,Lucknow,Uttar Pradesh,2023-12-20,XXXX6676,Active,1143.87
REC100037,MCH8152,Chaudhari PLC,5912,Pharmacy,Sole Proprietor,Jalandhar,Punjab,2023-07-24,,Active,1648.01
REC100038,MCH2665,"Arora, Bir and Mahal",5311,Department Store,Sole Proprietor,Lucknow,Uttar Pradesh,2024-11-15,3459659161,Inactive,2101.74
REC100039,MCH1384,Thakur-Ben,4814,Telecom,Individual,Hyderabad,Telangana,2023-11-04,,Active,1433.16
REC100040,MCH4729,Parmer-Kulkarni,5311,Department Store,Individual,Bengaluru,Karnataka,2023-09-03,,Active,1384.93
REC100041,MCH6326,"Barad, Murty and Tella",5942,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2024-06-22,LQXK9607455160094,Active,
REC100042,MCH5563,"Dubey, Wali and Yadav",5699,Apparel,Sole Proprietor,Kolkata,West Bengal,2024-01-28,5163059320,Active,2198.0
REC100043,MCH3063,Bansal Inc,4131,Transportation,Individual,Jaipur,Rajasthan,2025-07-02,,Inactive,282.67
REC100044,MCH7974,"Verma, Koshy and Bhardwaj",5411,Grocery Store,Individual,Jaipur,Rajasthan,2023-10-04,7985944544,Active,460.5
REC100045,MCH5575,Sandal LLC,5411,Grocery Store,Partnership,Chennai,Tamil Nadu,2024-02-13,XXXX5528,Active,5255.72
REC100046,MCH7433,"Sahota, Desai and Sarma",5999,Miscellaneous Retail,Individual,Pune,Maharashtra,2024-02-24,,Active,867.14
REC100047,MCH1454,Wable Inc,5999,Miscellaneous Retail,Individual,Lucknow,Uttar Pradesh,2025-06-18,7787448001,Active,2617.0
REC100048,MCH1331,"Garg, Bobal and Jain",4131,Transportation,Individual,Kolkata,West Bengal,2024-06-29,,Active,3720.61
REC100049,MCH1168,Sekhon Inc,5411,Grocery Store,Sole Proprietor,Hyderabad,Telangana,2025-07-26,,Active,6003.0
REC100050,MCH5283,"Verma, Narasimhan and Balan",5912,Pharmacy,Individual,Delhi,Delhi,2026-02-05,,Inactive,1266.0
REC100051,MCH2698,Kala LLC,7011,Hotel/Lodging,Individual,Lucknow,Uttar Pradesh,2023-08-19,YXNF3515433387898,Inactive,3590.19
REC100052,MCH6451,Chandran Group,5311,Department Store,Individual,Jalandhar,Punjab,2025-10-07,5694147499,Inactive,165.95
REC100053,MCH2255,Lal Ltd,5311,Department Store,Individual,Jaipur,Rajasthan,2023-05-29,6674150314,Active,1404.67
REC100054,MCH7312,Ramakrishnan-Banerjee,5311,Department Store,Sole Proprietor,Mumbai,Maharashtra,2024-02-24,CCCL8077324997121,Active,977.96
REC100055,MCH8549,"Amble, Sangha and Comar",4814,Telecom,Individual,Ludhiana,Punjab,2026-01-12,XXXX7799,Active,1130.69
REC100056,MCH9784,Lal Ltd,5812,Restaurant,Partnership,Chennai,Tamil Nadu,2024-12-28,XXXX3001,Active,1442.84
REC100057,MCH5395,"Dada, Jani and Kaul",5942,Books & Stationery,Partnership,Chennai,Tamil Nadu,2025-03-06,,Active,
REC100058,MCH6067,Chawla-Ganguly,7011,Hotel/Lodging,Sole Proprietor,Mumbai,Maharashtra,2025-12-03,FNQE1460028710860,Inactive,700.95
REC100059,MCH4786,Edwin PLC,5699,Apparel,Individual,Ludhiana,Punjab,2024-12-15,4903394968,Active,3435.22
REC100060,MCH3559,Chokshi Inc,5812,Restaurant,Private Limited,Bengaluru,Karnataka,2024-12-23,XXXX5330,Suspended,
REC100061,MCH3955,"Swamy, Dhingra and Sheth",5311,Department Store,Individual,Chennai,Tamil Nadu,2024-11-25,,Suspended,508.0
REC100062,MCH3558,"Bhattacharyya, Mahal and Setty",4131,Transportation,Partnership,Jaipur,Rajasthan,2023-07-28,7325110455,Active,4448.97
REC100063,MCH2879,"Pillay, Vora and Karnik",5812,Restaurant,Individual,Ludhiana,Punjab,2024-05-20,9486638654,Active,
REC100064,MCH3340,Varty-Chokshi,5999,Miscellaneous Retail,Partnership,Chennai,Tamil Nadu,2023-04-07,,Active,311.76
REC100065,MCH6403,"Sahni, Kapur and Ganesh",5699,Apparel,Private Limited,Chennai,Tamil Nadu,2024-05-30,,Active,344.49
REC100066,MCH3455,Singhal LLC,5311,Department Store,Individual,Jalandhar,Punjab,2026-01-06,,Active,11222.95
REC100067,MCH8578,Bhatt LLC,4131,Transportation,Sole Proprietor,Pune,Maharashtra,2023-08-26,QYMF1422119480722,Inactive,2462.04
REC100068,MCH4277,Chaudhry-Karpe,4131,Transportation,Private Limited,Ludhiana,Punjab,2023-11-09,,Active,
REC100069,MCH8716,"Naik, Chada and Divan",5999,Miscellaneous Retail,Private Limited,Ludhiana,Punjab,2023-01-11,EDPS0799008597487,Active,225.43
REC100070,MCH9697,Walla Ltd,4814,Telecom,Individual,Bengaluru,Karnataka,2025-07-21,,Active,1081.86
REC100071,MCH1170,"Wali, Bala and Sanghvi",5311,Department Store,Sole Proprietor,Bengaluru,Karnataka,2023-04-01,,Inactive,1109.65
REC100072,MCH8705,"Sahota, Kale and Patil",4131,Transportation,Private Limited,Delhi,Delhi,2024-11-10,XXXX9019,Active,1127.21
REC100073,MCH6875,Buch Ltd,5912,Pharmacy,Individual,Lucknow,Uttar Pradesh,2023-02-07,,Active,2704.27
REC100074,MCH5146,Wadhwa-Swamy,5311,Department Store,Partnership,Jalandhar,Punjab,2023-11-05,,Active,
REC100075,MCH7239,Tata-Hayer,7011,Hotel/Lodging,Individual,Chennai,Tamil Nadu,2025-06-09,MPZF9929757844428,Active,1929.61
REC100076,MCH7925,Badami Group,7011,Hotel/Lodging,Sole Proprietor,Hyderabad,Telangana,2023-07-01,IVGP0940394312057,Active,
REC100077,MCH3625,Lall Inc,5699,Apparel,Individual,Kolkata,West Bengal,2023-07-16,8363629876,Disabled,691.1
REC100078,MCH6999,Srinivasan-Agate,5812,Restaurant,Partnership,Hyderabad,Telangana,2023-02-22,,Active,1015.19
REC100079,MCH9868,"Bedi, Konda and Kant",5912,Pharmacy,Individual,Jaipur,Rajasthan,2023-01-02,XXXX9285,Active,444.97
REC100080,MCH5356,"Solanki, Kala and Loke",4814,Telecom,Partnership,Hyderabad,Telangana,2023-01-03,TUAH3044152488223,Active,
REC100081,MCH3953,"Ray, Minhas and Yohannan",5411,Grocery Store,Sole Proprietor,Kolkata,West Bengal,2023-03-18,XXXX6303,Active,8126.93
REC100082,MCH3697,Cherian LLC,7011,Hotel/Lodging,Individual,Chennai,Tamil Nadu,2023-11-04,,Active,2525.65
REC100083,MCH6046,"Palla, Yadav and Bhatnagar",5999,Miscellaneous Retail,Individual,Bengaluru,Karnataka,2024-03-27,,Active,2396.76
REC100084,MCH7759,"Sankaran, Patel and Narain",5699,Apparel,Sole Proprietor,Kolkata,West Bengal,2025-10-15,EADV1032511266518,Active,
REC100085,MCH5657,Natt-Goel,5999,Miscellaneous Retail,Individual,Delhi,Delhi,,,Active,1355.0
REC100086,MCH2432,Parmar-Parmer,4131,Transportation,Individual,Kolkata,West Bengal,,,Active,2557.63
REC100087,MCH5705,Mukhopadhyay and Sons,5699,Apparel,Sole Proprietor,Jalandhar,Punjab,2025-02-25,,Active,716.31
REC100088,MCH1358,"Chaudry, Baral and Modi",4131,Transportation,Individual,Ludhiana,Punjab,2025-06-07,3312553110,Active,2115.38
REC100089,MCH7337,Nath-Narayan,5699,Apparel,Individual,Hyderabad,Telangana,2024-07-28,,Active,3029.85
REC100090,MCH9319,Lad Inc,5699,Apparel,Sole Proprietor,Jalandhar,Punjab,2025-07-20,XXXX7774,Active,839.54
REC100091,MCH5354,Khatri-Deo,5942,Books & Stationery,Partnership,Jalandhar,Punjab,,WCZU4810286661084,Active,
REC100092,MCH6329,Srinivas-Banerjee,5912,Pharmacy,Individual,Kolkata,West Bengal,2024-05-12,XXXX2718,Active,199.46
REC100093,MCH3206,Ahuja-Din,5311,Department Store,Sole Proprietor,Hyderabad,Telangana,2026-01-11,XXXX4117,Active,1244.0
REC100094,MCH5632,Tandon Ltd,5311,Department Store,Sole Proprietor,Bengaluru,Karnataka,2025-05-29,,Active,270.52
REC100095,MCH8355,"Virk, Sarna and Sangha",5812,Restaurant,Individual,Mumbai,Maharashtra,2023-09-10,0702210119,Active,3279.0
REC100096,MCH3281,Ranganathan and Sons,5311,Department Store,Partnership,Kolkata,West Bengal,2024-03-01,XXXX9655,Active,
REC100097,MCH2978,Deshpande LLC,7011,Hotel/Lodging,Private Limited,Lucknow,Uttar Pradesh,2023-02-01,XXXX0228,Active,194.6
REC100098,MCH3399,Rana-Talwar,5912,Pharmacy,Private Limited,Mumbai,Maharashtra,2024-03-30,6585786984,Active,575.9
REC100099,MCH7219,Dhawan-Saha,7011,Hotel/Lodging,Individual,Delhi,Delhi,2026-01-06,HJFW5603026154965,Inactive,2354.94
REC100100,MCH3757,Chokshi PLC,4814,Telecom,Private Limited,Jaipur,Rajasthan,2025-10-23,KUIQ2748561079701,Active,2492.69
REC100101,MCH1214,Padmanabhan Group,4814,Telecom,Individual,Amritsar,Punjab,2025-08-24,,Active,
REC100102,MCH2249,Bahri-Nagarajan,7011,Hotel/Lodging,Sole Proprietor,Ludhiana,Punjab,2024-11-17,0364290572,Active,590.8
REC100103,MCH9098,Manda and Sons,5812,Restaurant,Partnership,Bengaluru,Karnataka,2024-03-03,XXXX2826,Active,870.0
REC100104,MCH7932,Sethi Ltd,4814,Telecom,Private Limited,Bengaluru,Karnataka,2025-04-20,AUYT1495828220876,Active,4410.18
REC100105,MCH1216,"Agarwal, Dave and Vala",7011,Hotel/Lodging,Sole Proprietor,Chennai,Tamil Nadu,2024-10-18,,Active,2228.42
REC100106,MCH3497,"Gokhale, Parmer and Contractor",4131,Transportation,Individual,Jalandhar,Punjab,2023-11-03,,Active,
REC100107,MCH8517,"Bandi, Bir and Buch",5912,Pharmacy,Individual,Delhi,Delhi,2025-05-12,XXXX8958,Active,2544.34
REC100108,MCH3567,Kala Ltd,4814,Telecom,Sole Proprietor,Amritsar,Punjab,2023-05-15,0120134197,Active,1794.62
REC100109,MCH6890,Pandit-Narasimhan,7011,Hotel/Lodging,Private Limited,Kolkata,West Bengal,2024-04-21,XXXX8046,Closed,525.87
REC100110,MCH6632,"Om, Mall and Sandhu",4131,Transportation,Partnership,Lucknow,Uttar Pradesh,2023-07-28,XXXX3092,Hold,996.13
REC100111,MCH7269,Lall-Raman,4814,Telecom,Private Limited,Lucknow,Uttar Pradesh,2023-10-25,4846136502,Active,1031.92
REC100112,MCH4180,Dave-Oza,5942,Books & Stationery,Sole Proprietor,Delhi,Delhi,2024-01-08,,Active,394.99
REC100113,MCH1492,"Panchal, Bail and Nadkarni",5912,Pharmacy,Sole Proprietor,Jaipur,Rajasthan,2024-07-05,,Hold,6674.02
REC100114,MCH5210,Natarajan LLC,4131,Transportation,Partnership,Lucknow,Uttar Pradesh,2023-08-25,,Active,2522.68
REC100115,MCH6115,Padmanabhan-Chahal,5311,Department Store,Private Limited,Mumbai,Maharashtra,2024-03-01,XXXX5769,Inactive,266.65
REC100116,MCH5950,Dey-Raj,5999,Miscellaneous Retail,Sole Proprietor,Amritsar,Punjab,2025-11-29,0371217445,Active,
REC100117,MCH3556,Andra-Nagar,5999,Miscellaneous Retail,Sole Proprietor,Pune,Maharashtra,2025-05-04,,Active,1107.13
REC100118,MCH4842,Palla LLC,5942,Books & Stationery,Individual,Kolkata,West Bengal,2024-12-19,XXXX0707,Active,3127.0
REC100119,MCH6831,"Kothari, De and Arora",5999,Miscellaneous Retail,Individual,Kolkata,West Bengal,2025-11-17,FVLK6104664273261,Suspended,
REC100120,MCH2922,Chhabra-Jha,5999,Miscellaneous Retail,Sole Proprietor,Mumbai,Maharashtra,2024-10-10,FAIS4263479017973,Active,
REC100121,MCH8509,"Majumdar, Deshpande and Solanki",5311,Department Store,Partnership,Bengaluru,Karnataka,2024-09-17,XXXX5135,Inactive,
REC100122,MCH3604,"Shetty, Bali and Sama",5411,Grocery Store,Partnership,Ludhiana,Punjab,2023-01-04,IQHJ3383226507557,Active,394.0
REC100123,MCH9785,Nagarajan PLC,5699,Apparel,Individual,Mumbai,Maharashtra,2025-08-06,,Active,2709.78
REC100124,MCH1447,"Dara, Om and Chaudhry",5699,Apparel,Private Limited,Bengaluru,Karnataka,2023-04-29,NJHB3866390601882,Disabled,373.0
REC100125,MCH7659,"Pandya, Bakshi and Chaudhary",4131,Transportation,Private Limited,Chennai,Tamil Nadu,2023-04-16,FNTE9764699509957,Active,1564.19
REC100126,MCH1600,"Warrior, An and and Kata",5311,Department Store,Individual,Chennai,Tamil Nadu,2025-10-07,DNAN6947992423478,Active,2937.03
REC100127,MCH8561,Mahal-Talwar,5912,Pharmacy,Individual,Pune,Maharashtra,2024-11-21,XXXX1106,Active,892.64
REC100128,MCH4029,Kuruvilla and Sons,5411,Grocery Store,Private Limited,Pune,Maharashtra,,DGMS6783095939908,Active,55.43
REC100129,MCH1392,Johal-Gaba,5912,Pharmacy,Private Limited,Pune,Maharashtra,2024-02-20,XXXX9354,Inactive,4352.7
REC100130,MCH4985,Hayre and Sons,5942,Books & Stationery,Partnership,Lucknow,Uttar Pradesh,2023-08-01,PXAE0911368692866,Active,1981.89
REC100131,MCH8808,"Kothari, Bansal and Gupta",5942,Books & Stationery,Individual,Bengaluru,Karnataka,2025-09-19,9868014892,Active,380.0
REC100132,MCH7137,Krishna-Palan,4814,Telecom,Partnership,Ludhiana,Punjab,2025-09-29,GJTY8331565779502,Active,
REC100133,MCH2813,"Sha, Bhatia and Vig",5311,Department Store,Individual,Chennai,Tamil Nadu,2024-10-24,5399147177,Active,3821.16
REC100134,MCH1375,Golla and Sons,5912,Pharmacy,Partnership,Bengaluru,Karnataka,2023-01-08,,Active,503.66
REC100135,MCH2074,D'Alia Inc,5699,Apparel,Partnership,Jaipur,Rajasthan,2025-10-22,VRCT7941741947399,Active,1616.2
REC100136,MCH1256,Vala Inc,5912,Pharmacy,Sole Proprietor,Kolkata,West Bengal,2025-01-17,,Blocked,1415.24
REC100137,MCH8440,"Chacko, Natarajan and Menon",5999,Miscellaneous Retail,Individual,Mumbai,Maharashtra,2025-01-19,,Active,775.41
REC100138,MCH3060,Deep-Tata,5311,Department Store,Individual,Amritsar,Punjab,2023-04-17,,Active,
REC100139,MCH4025,Hegde-Sule,5311,Department Store,Individual,Hyderabad,Telangana,,XXXX6804,Inactive,1108.29
REC100140,MCH6970,Chopra-Loke,5311,Department Store,Partnership,Jaipur,Rajasthan,2025-02-13,,Active,564.18
REC100141,MCH2850,Reddy-Kara,4131,Transportation,Private Limited,Jaipur,Rajasthan,2024-04-22,XXXX7186,Active,
REC100142,MCH5117,"Parikh, Sengupta and Chander",7011,Hotel/Lodging,Partnership,Chennai,Tamil Nadu,2023-01-26,,Suspended,266.62
REC100143,MCH6651,"Mahajan, Vig and Balakrishnan",5411,Grocery Store,Partnership,Delhi,Delhi,2023-02-17,ZZEW6214809734757,Active,1407.45
REC100144,MCH6206,"Johal, Verma and Sane",5812,Restaurant,Private Limited,Jalandhar,Punjab,2024-04-26,,Active,
REC100145,MCH9755,"Mane, Dey and Nagy",7011,Hotel/Lodging,Individual,Lucknow,Uttar Pradesh,2023-09-05,,Active,2207.77
REC100146,MCH3401,Chana LLC,5411,Grocery Store,Individual,Chennai,Tamil Nadu,,XXXX4048,Active,3703.23
REC100147,MCH7698,Sachdev and Sons,5812,Restaurant,Sole Proprietor,Amritsar,Punjab,2023-07-23,,Active,
REC100148,MCH2085,Loke Inc,7011,Hotel/Lodging,Individual,Hyderabad,Telangana,2023-12-05,CQUN5447672400868,Blocked,
REC100149,MCH1060,"Subramaniam, Rama and Contractor",4131,Transportation,Individual,Hyderabad,Telangana,2024-05-02,FXHY9362967598468,Active,480.0
REC100150,MCH7876,"Deshpande, Nagar and Parsa",4814,Telecom,Individual,Jaipur,Rajasthan,2024-08-22,,Active,502.95
REC100151,MCH9966,"Kara, Chanda and Hayre",4131,Transportation,Individual,Kolkata,West Bengal,2024-01-16,XXXX6108,Active,3566.37
REC100152,MCH2710,"Ramanathan, Bandi and Edwin",5411,Grocery Store,Sole Proprietor,Delhi,Delhi,2024-11-07,9267399474,Active,5021.08
REC100153,MCH2723,Purohit-Dani,5812,Restaurant,Individual,Amritsar,Punjab,2024-04-16,XXXX6527,Active,1384.67
REC100154,MCH6084,Gera-Patla,4131,Transportation,Sole Proprietor,Lucknow,Uttar Pradesh,2026-01-26,0059005491,Active,3360.46
REC100155,MCH1457,Shetty Group,5999,Miscellaneous Retail,Individual,Jalandhar,Punjab,2025-07-11,7979475554,Active,1159.43
REC100156,MCH7866,Bhattacharyya and Sons,5311,Department Store,Partnership,Delhi,Delhi,2025-10-31,QKIU3712061004002,Active,2522.0
REC100157,MCH9528,Kibe-Memon,5699,Apparel,Sole Proprietor,Delhi,Delhi,2025-12-07,XXXX9874,Active,5399.84
REC100158,MCH3612,Vaidya-Arya,5311,Department Store,Private Limited,Kolkata,West Bengal,2023-09-01,UOBK5661273202199,Active,695.7
REC100159,MCH3971,Sura PLC,7011,Hotel/Lodging,Individual,Delhi,Delhi,2024-04-17,,Active,748.82
REC100160,MCH6025,Rege-Bali,4131,Transportation,Individual,Bengaluru,Karnataka,2025-04-21,XXXX0320,Inactive,2516.42
REC100161,MCH6507,Kadakia PLC,5812,Restaurant,Partnership,Chennai,Tamil Nadu,2023-05-01,XXXX3350,Active,740.55
REC100162,MCH8031,Chokshi Ltd,7011,Hotel/Lodging,Individual,Hyderabad,Telangana,2025-07-26,3288481391,Active,2110.06
REC100163,MCH8431,Bala Group,4131,Transportation,Individual,Ludhiana,Punjab,2025-05-02,XXXX7030,Active,964.23
REC100164,MCH9718,Mammen and Sons,5411,Grocery Store,Sole Proprietor,Jalandhar,Punjab,2023-06-20,3331553891,Active,678.94
REC100165,MCH3058,Patla-Padmanabhan,5942,Books & Stationery,Individual,Pune,Maharashtra,2024-10-18,OBXD4944464643223,Active,974.77
REC100166,MCH8327,Menon Ltd,5999,Miscellaneous Retail,Individual,Bengaluru,Karnataka,2023-06-18,,Disabled,1670.04
REC100167,MCH9038,"Dara, Pai and Saxena",5699,Apparel,Sole Proprietor,Ludhiana,Punjab,2024-04-18,0739300438,Active,2740.86
REC100168,MCH2412,Nadig Inc,5942,Books & Stationery,Individual,Hyderabad,Telangana,2024-12-08,XXXX9581,Active,144.12
REC100169,MCH2904,Iyengar-Comar,5999,Miscellaneous Retail,Private Limited,Delhi,Delhi,2026-01-05,XXXX7160,Active,1147.91
REC100170,MCH5405,Balan-Sabharwal,5812,Restaurant,Individual,Bengaluru,Karnataka,2023-04-07,,Active,2280.95
REC100171,MCH1625,Handa LLC,5912,Pharmacy,Private Limited,Ludhiana,Punjab,2024-07-27,,Inactive,4123.17
REC100172,MCH3926,Master-Sarin,5999,Miscellaneous Retail,Individual,Hyderabad,Telangana,2025-05-08,,Active,1913.5
REC100173,MCH6979,Nadig Ltd,5912,Pharmacy,Sole Proprietor,Chennai,Tamil Nadu,2023-05-18,SYHI9438066539953,Inactive,640.32
REC100174,MCH1842,Bedi-Vohra,5411,Grocery Store,Private Limited,Lucknow,Uttar Pradesh,,XXXX6666,Active,1241.96
REC100175,MCH8130,"Kale, Kumer and Ch and",5311,Department Store,Partnership,Ludhiana,Punjab,2026-02-05,GYEV9276514828192,Active,419.61
REC100176,MCH1571,"Rao, Viswanathan and Joshi",4131,Transportation,Sole Proprietor,Chennai,Tamil Nadu,2023-08-03,,Active,866.2
REC100177,MCH9626,Gulati-Chhabra,4814,Telecom,Partnership,Lucknow,Uttar Pradesh,2025-02-21,,Active,880.0
REC100178,MCH2099,"Tara, Date and Thakur",4131,Transportation,Sole Proprietor,Chennai,Tamil Nadu,2023-06-28,BFBY2666613604973,Active,1054.15
REC100179,MCH1841,Kadakia-Rao,7011,Hotel/Lodging,Sole Proprietor,Kolkata,West Bengal,2025-07-01,7706295964,Active,532.17
REC100180,MCH7901,Bala Group,5812,Restaurant,Partnership,Jaipur,Rajasthan,2023-03-02,VXJE9106968913579,Active,
REC100181,MCH8607,"Wali, Mane and Thakur",5699,Apparel,Individual,Delhi,Delhi,2023-10-15,XXXX4911,Active,2981.0
REC100182,MCH5570,"Sahni, Bala and Sharma",5999,Miscellaneous Retail,Individual,Delhi,Delhi,2025-11-28,,Blocked,1506.33
REC100183,MCH5328,Dhaliwal Inc,5812,Restaurant,Private Limited,Kolkata,West Bengal,2025-04-19,,Active,375.06
REC100184,MCH2408,"Kumar, Din and Sule",5999,Miscellaneous Retail,Sole Proprietor,Bengaluru,Karnataka,,,Active,
REC100185,MCH9448,"Sant, Manda and Khurana",5699,Apparel,Partnership,Jalandhar,Punjab,2023-10-08,XXXX3103,Inactive,522.0
REC100186,MCH9463,Boase and Sons,5942,Books & Stationery,Private Limited,Amritsar,Punjab,2025-06-01,8867615299,Active,835.0
REC100187,MCH5882,"Barad, Kara and Gokhale",4814,Telecom,Sole Proprietor,Chennai,Tamil Nadu,2024-09-25,8200004171,Inactive,626.5
REC100188,MCH5072,Shroff-Sangha,5999,Miscellaneous Retail,Private Limited,Jaipur,Rajasthan,2024-12-08,XXXX4443,Active,3955.29
REC100189,MCH2817,Keer and Sons,5999,Miscellaneous Retail,Private Limited,Ludhiana,Punjab,2025-05-19,XXXX7166,Inactive,2074.28
REC100190,MCH7403,"Naik, Badami and Raj",5311,Department Store,Sole Proprietor,Pune,Maharashtra,,,Active,1191.42
REC100191,MCH8984,Sharma Group,5812,Restaurant,Private Limited,Ludhiana,Punjab,2023-06-21,,Active,590.58
REC100192,MCH8915,Sur Ltd,5812,Restaurant,Individual,Mumbai,Maharashtra,2025-08-04,2079428373,Closed,665.18
REC100193,MCH6109,Sampath Ltd,4814,Telecom,Individual,Ludhiana,Punjab,2026-01-15,6737069990,Active,399.08
REC100194,MCH9193,Shroff Inc,5411,Grocery Store,Sole Proprietor,Jalandhar,Punjab,2023-02-10,,Active,
REC100195,MCH7548,Kalla LLC,5411,Grocery Store,Individual,Bengaluru,Karnataka,2024-05-26,JVRD8475866858020,Active,3106.71
REC100196,MCH7196,Kurian-Trivedi,4814,Telecom,Partnership,Jaipur,Rajasthan,2023-06-09,,Active,1000.33
REC100197,MCH5182,"Kadakia, Raman and Badal",4131,Transportation,Sole Proprietor,Amritsar,Punjab,2023-07-15,5073008487,Inactive,932.0
REC100198,MCH4839,Sura-Mall,4131,Transportation,Private Limited,Ludhiana,Punjab,2025-12-08,,Active,682.13
