record_id,user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
REC100015,USR53554,Hemani Behl,SIBUO4381D,448832778808,1968-09-20,Delhi,Delhi,26617.0,Business Owner,2024-01-03 00:50:12,Verified,Low
REC100016,USR77711,Warinder Solanki,MFDIC1823G,XXXX-XXXX-5406,1987-07-15,Pune,Maharashtra,,Gig Worker,2025-04-06 14:45:00,Pending,High
REC100017,USR69726,Rudra Lal,CXBKD3190N,976073035125,1995-08-28,Kolkata,West Bengal,17700.0,Student,2024-12-30 00:00:00,Verified,Low
REC100018,USR53544,Daniel Gokhale,UFLEH5366C,,1998-07-16,Lucknow,Uttar Pradesh,32124.0,Self Employed,2025-10-12 00:00:00,Verified,High
REC100019,USR57699,Advik Om,MXMQW7893W,XXXX-XXXX-1365,1999-04-26,Lucknow,Uttar Pradesh,19875.0,Freelancer,2024-04-06 00:00:00,Verified,Low
REC100020,USR53382,Mekhala Golla,BOBCZ3795L,652660807695,1967-06-02,Hyderabad,Telangana,13098.0,Retired,2026-01-12 00:00:00,Verified,Low
REC100021,USR26959,Ganga Pai,JXFNR4730M,149449272703,1966-07-04,Amritsar,Punjab,19624.0,Retired,2026-02-12 00:00:00,Verified,Unknown
REC100022,USR13068,Megha Chandra,AVJUN6708Q,282909798427,1993-09-10,Kolkata,West Bengal,25378.0,Self Employed,2024-02-18 00:00:00,Verified,Low
REC100023,USR32767,Sanya Dalal,HBFFH5169P,584280034012,1964-01-18,Delhi,Delhi,17051.0,Gig Worker,2024-10-11 00:00:00,Verified,High
REC100024,USR86400,Qadim Nayak,AQHFS2686A,945287372343,1978-06-09,Hyderabad,Telangana,19485.0,Retired,2026-02-06 04:09:04,Verified,Low
REC100025,USR72012,Liam Varkey,CNIVL5277X,XXXX-XXXX-0556,2004-08-25,Mumbai,Maharashtra,,Salaried,2025-09-08 15:25:17,Pending,Low
REC100026,USR65078,Anamika Chaudhary,EYKUP2541J,871855606283,1987-01-09,Jaipur,Rajasthan,16714.0,Freelancer,2024-11-10 16:26:00,Verified,Low
REC100027,USR37121,Bhavika Thaker,MKYUT2802M,015496732243,1983-07-29,Bengaluru,Karnataka,31824.0,Self Employed,2025-02-16 00:00:00,Verified,Low
REC100028,USR64308,Vedant Lalla,,843937681323,1990-02-13,Kolkata,West Bengal,10907.0,Retired,2026-03-08 00:00:00,Verified,Medium
REC100029,USR13880,Krisha Borra,YWBSY7212H,,2003-09-23,Hyderabad,Telangana,21188.0,Farmer,2024-06-29 05:51:04,Verified,Low
REC100030,USR56830,Ekapad Dalal,FPHDL6481K,744698471442,1960-12-23,Jaipur,Rajasthan,22808.0,Business Owner,2024-12-05 18:28:30,Verified,High
REC100031,USR95322,Advik Sahota,QEHZG5598Z,738867861215,1974-09-25,Kolkata,West Bengal,35085.0,Farmer,2024-12-03 00:00:00,Verified,High
REC100032,USR23760,Saksham Dave,XSGLB7836O,982003027776,2003-10-20,Lucknow,Uttar Pradesh,,Gig Worker,2024-04-07 00:00:00,Verified,Medium
REC100033,USR28092,Jack Lanka,VANEO2162B,995050559108,1990-09-14,Delhi,Delhi,47900.0,Freelancer,2024-12-27 00:00:00,Verified,Low
REC100034,USR41268,Onkar Ratta,MTPRE0507U,095974642287,2006-08-28,Jalandhar,Punjab,35166.0,Retired,2024-09-08 00:00:00,In Progress,Low
REC100035,USR61809,Arjun Chander,JAWRM6042P,432985168205,1987-10-09,Lucknow,Uttar Pradesh,13796.0,Freelancer,2025-07-31 01:04:55,Verified,Low
REC100036,USR86464,Tanay Sinha,HCUCZ8229X,446687716426,1985-12-29,Ludhiana,Punjab,12686.0,Business Owner,2026-01-05 00:00:00,Verified,Medium
REC100037,USR29929,Yamini Kade,BZKKN4437J,025396904187,1978-02-20,Lucknow,Uttar Pradesh,,Business Owner,2025-09-16 00:00:00,Under Review,Low
REC100038,USR75086,Caleb Mammen,JVXFL4848V,560545067480,2003-08-30,Ludhiana,Punjab,47600.0,Farmer,2025-11-04 21:28:00,Pending,Unknown
REC100039,USR78743,Atharv Lall,GUHZF2370F,982856210452,1970-04-22,Jaipur,Rajasthan,18539.0,Self Employed,2024-12-24 00:00:00,Pending,Low
REC100040,USR59316,Prisha Chander,XHBKR5403M,534910368969,1994-02-03,Ludhiana,Punjab,13300.0,Unemployed,2026-03-07 00:00:00,Verified,Low
REC100041,USR90387,Aarna Devi,TFWBR0265R,,1988-07-02,Jaipur,Rajasthan,24127.0,Business Owner,2025-12-24 00:00:00,Verified,Low
REC100042,USR18776,Pushti Sha,OGVKP1291Y,,1966-08-08,Hyderabad,Telangana,,Student,2025-09-05 00:00:00,Verified,Low
REC100043,USR13953,Mugdha Thaker,GJIRE9459M,851299154050,1997-02-11,Amritsar,Punjab,23495.0,Self Employed,2025-04-17 00:00:00,Verified,Low
REC100044,USR33108,Ekavir Bal,CINIP4289D,866127906399,1979-09-18,Bengaluru,Karnataka,,Freelancer,2024-03-02 00:00:00,Verified,Low
REC100045,USR71267,Noah Wable,WVMOD0360T,497610284249,1964-04-14,Bengaluru,Karnataka,20388.0,Student,2025-06-04 00:00:00,Verified,Low
REC100046,USR82470,Owen Nair,DPRST6843S,645578891743,1972-07-30,Pune,Maharashtra,35891.0,Farmer,2025-06-25 00:00:00,Pending,Medium
REC100047,USR91477,Ojas Kumer,AXMWY7954C,931168320493,1961-03-08,Ludhiana,Punjab,28545.0,Unemployed,2026-03-25 00:00:00,Verified,Low
REC100048,USR86614,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10,Pune,Maharashtra,37338.0,Student,2024-04-02 00:00:00,Verified,Low
REC100049,USR23635,Tanmayi Sunder,DRXCQ2579G,796306366826,1994-05-25,Lucknow,Uttar Pradesh,20317.0,Gig Worker,2024-08-08 15:30:14,Verified,Medium
REC100050,USR63684,Vasana Naidu,FYYYZ4211T,413928195585,1974-04-11,Jalandhar,Punjab,39085.0,Freelancer,2025-11-30 20:37:22,Verified,Low
REC100051,USR40151,Lipika Pant,ZCYWL1620R,459607504259,2004-11-12,Jalandhar,Punjab,13296.0,Student,,Verified,Low
REC100052,USR60198,Nihal Sunder,GMKIH3940L,167222122123,1992-06-04,Bengaluru,Karnataka,39252.0,Student,2025-07-17 00:00:00,Verified,Low
REC100053,USR77081,Ethan Dora,BZDWK4883M,394394089450,1963-01-03,Lucknow,Uttar Pradesh,31508.0,Unemployed,2024-10-22 10:15:48,Verified,High
REC100054,USR84077,Neelima Sem,DKNSH2914F,810082123328,1980-12-28,Ludhiana,Punjab,27515.0,Self Employed,2025-06-11 00:00:00,Verified,Medium
REC100055,USR59175,Ansh Virk,AMBPC6856J,400683346413,1972-03-27,Mumbai,Maharashtra,16030.0,Student,2025-02-13 00:00:00,Verified,Medium
REC100056,USR64276,Upasna Subramanian,OPVCG1908W,024162763322,1974-09-01,Lucknow,Uttar Pradesh,19115.0,Farmer,2025-03-24 00:00:00,Verified,Unknown
REC100057,USR64768,Warda Bhasin,DJJZS1635L,137833448545,1964-12-05,Mumbai,Maharashtra,32936.0,Self Employed,2026-02-22 00:00:00,Verified,Unknown
REC100058,USR16446,Yagnesh Roy,,,1997-09-19,Chennai,Tamil Nadu,,Salaried,2025-08-29 00:00:00,Verified,High
REC100059,USR22470,Ubika Saraf,GEZXL8319T,385691746808,1985-04-21,Bengaluru,Karnataka,12941.0,Student,2024-08-27 07:40:00,Rejected,Medium
REC100060,USR78907,Garima Sangha,NTGKP6262I,XXXX-XXXX-3516,1977-09-14,Amritsar,Punjab,14527.0,Salaried,,Pending,Low
REC100061,USR55616,Jasmit Nadkarni,EGCOO2505G,073835878098,1993-04-02,Bengaluru,Karnataka,17065.0,Retired,2025-08-22 00:00:00,Verified,Low
REC100062,USR11988,Udarsh Khalsa,,005370369333,1973-09-08,Bengaluru,Karnataka,57849.0,Self Employed,2026-03-10 00:00:00,Verified,Low
REC100063,USR78571,Gautami Sanghvi,PXLGX1420K,497306999651,1977-10-18,Amritsar,Punjab,25062.0,Student,2024-05-20 16:14:00,Verified,Low
REC100064,USR26915,Aarna Deshmukh,VVYMS8300C,411377608777,2005-09-25,Chennai,Tamil Nadu,,Unemployed,2024-06-09 00:00:00,Verified,Low
REC100065,USR71883,Amara Oak,OWXKX2821C,619501763518,1995-09-09,Bengaluru,Karnataka,22743.0,Retired,2025-04-30 00:00:00,Rejected,Medium
REC100066,USR67037,Lucky Konda,CRHRQ9787A,892466941914,1991-12-26,Lucknow,Uttar Pradesh,18960.0,Business Owner,2024-08-28 09:57:39,Verified,Low
REC100067,USR28669,George Dar,QLRNP1618Y,,1978-04-01,Mumbai,Maharashtra,24646.0,Self Employed,2024-02-10 17:03:22,Rejected,Medium
REC100068,USR74087,Qarin Sengupta,TGCGN4731B,507933608333,1987-01-26,Amritsar,Punjab,11942.0,Salaried,2026-01-15 05:56:00,Verified,Medium
REC100069,USR97475,Bimala Rao,ZWIEO8960X,581975734236,1977-04-08,Hyderabad,Telangana,,Farmer,2024-03-26 00:00:00,Verified,Low
REC100070,USR29005,Wazir Ghose,SVTQR6809M,480853410333,1993-12-19,Delhi,Delhi,14463.0,Student,2024-03-12 00:00:00,Verified,Low
REC100071,USR78059,Vasana Palla,CALNW0586S,754746798970,1991-04-27,Mumbai,Maharashtra,29828.0,Farmer,2024-11-23 00:00:00,Verified,Low
REC100072,USR15644,Anita Balay,VZJON4073W,170203765815,1994-05-12,Bengaluru,Karnataka,,Unemployed,2025-03-11 00:00:00,Verified,Medium
REC100073,USR53776,Advaith Sur,ORRQC4341P,936833471186,1980-08-16,Amritsar,Punjab,29723.0,Gig Worker,2024-10-04 00:00:00,Pending,Low
REC100074,USR35738,Nachiket Saini,MPBCY9061Z,292718782869,1982-06-19,Ludhiana,Punjab,9263.0,Retired,2025-04-24 00:00:00,Rejected,Low
REC100075,USR30688,Pooja Koshy,YVQMB3903Y,375014980195,,Jaipur,Rajasthan,55299.0,Salaried,2025-05-12 21:33:30,Verified,Low
REC100076,USR43692,Kashvi Bal,XCBFC3495G,022456449188,1972-08-16,Hyderabad,Telangana,26181.0,Retired,2024-05-30 00:00:00,Verified,Low
REC100077,USR13931,Vrinda Sodhi,JAXKB7158R,232101145647,1994-03-10,Jalandhar,Punjab,13080.0,Salaried,,Verified,High
REC100078,USR16890,Unni Purohit,SRFPG7183S,128864682279,1997-12-05,Lucknow,Uttar Pradesh,19516.0,Farmer,2024-04-01 12:10:00,Verified,Medium
REC100079,USR60800,Benjamin Hayre,SKOEK2388A,XXXX-XXXX-6470,,Jalandhar,Punjab,,Farmer,2024-03-23 05:13:33,Verified,Medium
REC100080,USR43778,Megha Saran,FBYVC9113B,252595042768,1995-01-26,Ludhiana,Punjab,27468.0,Student,2024-08-11 00:00:00,Verified,Medium
REC100081,USR70695,Darsh Rana,HOHLD1406O,663470616081,1986-05-13,Bengaluru,Karnataka,32215.0,Business Owner,2024-06-16 00:00:00,Failed,Low
REC100082,USR82121,Maanas Kumar,PHLMO0100D,307093238655,2000-06-15,Mumbai,Maharashtra,50644.0,Student,2024-04-19 00:00:00,Verified,Low
REC100083,USR28535,Laban Sinha,RFMPF5305S,XXXX-XXXX-3078,1998-11-28,Pune,Maharashtra,23001.0,Retired,2024-12-31 23:15:38,Under Review,Medium
REC100084,USR61312,Manbir Kar,OYDNZ6406F,545126921501,2005-03-19,Hyderabad,Telangana,,Farmer,2025-02-04 00:00:00,Rejected,Low
REC100085,USR17743,Sneha Palan,HXELE7376C,012024085465,1986-09-22,Kolkata,West Bengal,30964.0,Student,2025-07-02 00:00:00,Verified,Low
REC100086,USR75869,Triya Sodhi,KUCXN4426K,598523497392,1999-09-16,Amritsar,Punjab,17400.0,Salaried,2024-03-11 00:00:00,Under Review,Medium
REC100087,USR88971,Aahana Goda,KAPYK2586P,815430708070,1963-08-19,Amritsar,Punjab,8961.0,Student,2025-03-06 04:52:16,Verified,Medium
REC100088,USR25394,Urmi Dar,WDKKW7243D,,1983-11-17,Pune,Maharashtra,39353.0,Retired,2025-03-23 00:00:00,Verified,Medium
REC100089,USR36110,Bhavya D0shi,ZZLBX3053J,774946361922,1979-07-29,Pune,Maharashtra,,Freelancer,2025-11-15 00:00:00,Verified,Low
REC100090,USR28927,Chandran Nori,MIAZT7616U,,1999-12-19,Hyderabad,Telangana,34414.0,Unemployed,2024-11-29 00:00:00,Verified,Medium
REC100091,USR12524,Yauvani Deep,QGIWK2792H,279292452932,1985-01-24,Pune,Maharashtra,34793.0,Unemployed,2024-03-28 12:45:00,In Progress,Medium
REC100092,USR87061,Zayyan Parmar,OESTV5644M,421249135042,1994-02-03,Bengaluru,Karnataka,34016.0,Retired,2024-01-15 00:00:00,Rejected,Low
REC100093,USR70121,Manan Kala,,491734893582,2003-05-16,Amritsar,Punjab,12490.0,Gig Worker,2025-01-04 13:18:00,Verified,Unknown
REC100094,USR43558,Bhavya Kala,FMZBB8469X,041614978824,2005-04-29,Kolkata,West Bengal,,Student,2026-02-25 18:03:00,Verified,Unknown
REC100095,USR97255,Hardik Varty,IKVCL9739N,018969410775,1985-09-07,Bengaluru,Karnataka,,Salaried,2024-08-23 10:00:42,Under Review,Low
REC100096,USR41850,Anamika Jayaraman,ZWSDQ5958Z,366997497248,2004-11-19,Pune,Maharashtra,,Unemployed,2024-03-27 02:50:53,Verified,Low
REC100097,USR61425,Rajata Panchal,FDJQL7637C,252492316041,1987-11-27,Amritsar,Punjab,25830.0,Farmer,2025-02-26 00:00:00,Verified,Low
REC100098,USR11654,Shivansh Dhar,VJCFR9167X,,1986-03-23,Lucknow,Uttar Pradesh,19879.0,Business Owner,2024-02-05 00:00:00,Verified,Low
REC100099,USR60435,Manan Desai,CZDOZ3023Y,,1971-11-14,Lucknow,Uttar Pradesh,13100.0,Self Employed,2025-05-20 00:00:00,Pending,Low
REC100100,USR69566,Pooja Sanghvi,KKXGH7093M,594632399328,,Mumbai,Maharashtra,40871.0,Gig Worker,2024-01-30 20:55:00,Verified,Low
REC100101,USR97911,Aarush Hora,UJAKN1892R,889800106898,1974-09-25,Bengaluru,Karnataka,23895.0,Freelancer,2025-09-17 00:00:00,Verified,Low
REC100102,USR96415,Aadi Batta,JYKPY8685U,801249909011,1975-05-10,Bengaluru,Karnataka,16142.0,Gig Worker,2024-08-20 00:00:00,Verified,Medium
REC100103,USR41370,Lajita Mammen,TCFIS9755D,047045008750,1969-05-19,Ludhiana,Punjab,74744.0,Farmer,2024-04-06 00:00:00,Verified,Medium
REC100104,USR46200,Bakhshi Sah0ta,WALTW7577C,201060880121,2001-10-04,Hyderabad,Telangana,24694.0,Gig Worker,2024-07-26 00:00:00,Verified,Low
REC100105,USR30125,Dakshesh Dhaliwal,AFYDX3604O,,1993-02-05,Jaipur,Rajasthan,22236.0,Business Owner,,Rejected,Low
REC100106,USR51640,Hitesh Raj,UCIYS7654M,,1997-12-27,Mumbai,Maharashtra,65510.0,Business Owner,2025-05-07 00:00:00,Rejected,Low
REC100107,USR26148,Tarak Butala,LSMZC5449O,594773990154,1988-08-07,Bengaluru,Karnataka,30461.0,Salaried,,Verified,High
REC100108,USR72127,Turvi Grover,CQVNW6926I,192610278127,1989-04-19,Jaipur,Rajasthan,15633.0,Retired,2024-08-03 00:38:25,Verified,Medium
REC100109,USR96477,Tanveer Narula,SDAVW9214Z,097914045328,1972-07-15,Chennai,Tamil Nadu,14759.0,Retired,2026-01-27 00:00:00,Rejected,Low
REC100110,USR18944,Mekhala Golla,,885036777734,1991-07-25,Chennai,Tamil Nadu,26904.0,Farmer,,Verified,Low
REC100111,USR38760,Lajita Dewan,,604812343829,1962-08-09,Kolkata,West Bengal,9392.0,Salaried,2025-03-22 00:00:00,Verified,Low
REC100112,USR35147,Krishna Deo,HWFFO1057B,517870181300,1973-11-24,Ludhiana,Punjab,50039.0,Salaried,2026-01-04 00:00:00,Verified,High
REC100113,USR23153,Elijah Golla,,XXXX-XXXX-4291,1997-05-23,Jalandhar,Punjab,25280.0,Salaried,2024-08-19 00:00:00,Failed,Low
REC100114,USR43985,Elijah Basu,OWYWO4172Z,XXXX-XXXX-4334,2001-11-29,Jaipur,Rajasthan,,Farmer,2025-08-19 00:00:00,Verified,Medium
REC100115,USR13270,Gautam Joshi,KNUKD8690E,,1961-02-02,Pune,Maharashtra,17781.0,Self Employed,,Verified,Medium
REC100116,USR87067,Ayaan Bhatt,IYPWZ2082B,073336789186,1997-03-06,Bengaluru,Karnataka,32299.999999999996,Farmer,2024-12-14 08:31:34,Verified,Medium
REC100117,USR14736,Harini Keer,SQFFV1099G,900845213060,1969-07-11,Mumbai,Maharashtra,29346.0,Retired,,Verified,Medium
REC100118,USR26503,Ranbir Mannan,UCYSG5949W,445635673241,2006-02-08,Amritsar,Punjab,9785.0,Farmer,2025-07-25 13:14:02,Pending,Low
REC100119,USR55516,Yutika Ravi,HCPGG8914B,919840435976,1973-06-03,Kolkata,West Bengal,37564.0,Unemployed,2024-10-30 00:00:00,Pending,Low
REC100120,USR45907,Hardik Ramesh,GUXKU9088P,625394319187,1970-07-22,Delhi,Delhi,,Gig Worker,2025-08-16 00:00:00,Verified,Medium
REC100121,USR20548,Wridesh Joshi,TZSQX5220Z,031743351796,2007-05-12,Mumbai,Maharashtra,31338.0,Student,2025-10-01 00:00:00,Verified,Low
REC100122,USR37307,Balendra Verma,UOHEX6486E,XXXX-XXXX-5396,2001-07-17,Delhi,Delhi,37243.0,Unemployed,2025-07-28 00:00:00,Verified,Medium
REC100123,USR63941,Lopa Shanker,TIVNP2437G,474938292882,1975-04-08,Jaipur,Rajasthan,18089.0,Student,2025-07-12 11:33:35,Pending,Medium
REC100124,USR62335,0rinder Tiwari,KVIYF7177S,XXXX-XXXX-5008,1967-11-21,Pune,Maharashtra,15492.0,Student,2024-07-08 00:00:00,Verified,Medium
REC100125,USR82534,Ekalinga Deep,QMKMZ5656K,,1991-01-11,Bengaluru,Karnataka,22070.0,Student,2025-04-22 21:24:00,Verified,Low
REC100126,USR28153,Janaki Korpal,AHFWQ6201Q,,1974-06-16,Mumbai,Maharashtra,11531.0,Freelancer,2025-01-16 11:19:05,Verified,Low
REC100127,USR97134,Reva Vaidya,HBVQA7004Y,,1964-05-10,Ludhiana,Punjab,55126.0,Freelancer,2025-01-07 00:00:00,Under Review,Medium
REC100128,USR31953,Ekani Kar,KRJBG3843A,316943402972,2002-08-16,Jaipur,Rajasthan,,Unemployed,2024-08-05 22:11:10,Verified,Medium
REC100129,USR18418,Vrishti Chaudry,QRINM1863X,179723824180,1987-01-08,Kolkata,West Bengal,56033.0,Student,2025-12-04 00:00:00,Verified,High
REC100130,USR73856,Damini Atwal,,390411249547,1980-05-07,Chennai,Tamil Nadu,36100.0,Unemployed,2025-06-10 00:00:00,Verified,Medium
REC100131,USR34047,Nirja Goyal,EDJFV6786Z,354284252681,1971-03-15,Chennai,Tamil Nadu,51334.0,Freelancer,2025-04-21 00:00:00,Verified,High
REC100132,USR11358,Ria Sampath,CBDMJ0910P,760403432642,2003-10-11,Ludhiana,Punjab,103450.0,Business Owner,,Verified,Low
REC100133,USR64107,Gauri Vora,,870429928177,1970-06-30,Pune,Maharashtra,12867.0,Salaried,2025-01-23 02:49:00,Verified,Low
REC100134,USR35594,Indira Ramachandran,EGAVG3762P,,1962-04-28,Chennai,Tamil Nadu,19286.0,Farmer,2024-08-19 00:00:00,Verified,Medium
REC100135,USR30418,Akshay Sampath,WNKPD6528H,131902883486,1965-01-23,Lucknow,Uttar Pradesh,17322.0,Unemployed,2024-09-15 20:50:00,Verified,Low
REC100136,USR54584,Chameli Dubey,CZJQV2137R,424702742867,2001-07-08,Mumbai,Maharashtra,22185.0,Self Employed,2024-09-01 00:00:00,Verified,Low
REC100137,USR48110,Brinda Manda,RYYOT8872F,282630996872,1964-03-17,Amritsar,Punjab,21983.0,Business Owner,,Verified,High
REC100138,USR95700,Deepa Bhalla,RTWID8017S,474803829105,1991-09-12,Amritsar,Punjab,33200.0,Business Owner,2025-08-06 08:22:00,Verified,Low
REC100139,USR78337,Pranit Oza,NZBEB2190H,618150795338,1988-12-02,Lucknow,Uttar Pradesh,22457.0,Gig Worker,2024-07-24 00:00:00,Verified,Medium
REC100140,USR55461,Unnati Keer,FQVDC8747O,373868774560,2001-11-25,Jalandhar,Punjab,28600.0,Business Owner,2025-07-10 00:00:00,Rejected,Low
REC100141,USR99445,Krisha Seshadri,HFMYY3894Z,769553266511,2001-09-17,Delhi,Delhi,48549.0,Business Owner,2024-01-19 00:00:00,Verified,Medium
REC100142,USR26939,Samuel Mitter,KIWOV8722C,633005029504,1998-12-04,Amritsar,Punjab,24100.0,Retired,2026-02-06 00:00:00,Verified,High
REC100143,USR65086,Shivansh Prasad,MRRMZ0743S,,1962-03-10,Ludhiana,Punjab,20739.0,Freelancer,2024-07-06 03:48:49,Rejected,Low
REC100144,USR51330,Manya Bali,SKOUH9200Y,019951099623,1972-10-30,Pune,Maharashtra,30214.0,Student,2025-11-04 21:49:04,Verified,Low
REC100145,USR34172,Faras Warrior,ZWOCQ9001I,054598187074,2001-05-10,Mumbai,Maharashtra,14529.0,Self Employed,2025-09-16 00:00:00,Verified,Medium
REC100146,USR35378,Ishita Mane,LZRJS8644Y,,1981-01-26,Jalandhar,Punjab,,Retired,2025-01-01 00:00:00,Verified,Medium
REC100147,USR28471,Umang Kumer,LBEYE6919S,XXXX-XXXX-2199,1991-02-13,Jaipur,Rajasthan,13774.0,Freelancer,2025-11-11 00:00:00,Verified,Medium
REC100148,USR65406,Bhavini Solanki,JVEIG3097A,088850972945,1960-08-11,Jaipur,Rajasthan,20271.0,Unemployed,,Under Review,Low
REC100149,USR16212,Sanya Sawhney,TBUDL4683R,204949751167,2001-07-23,Kolkata,West Bengal,13924.0,Freelancer,2024-09-22 17:09:54,Verified,Medium
REC100150,USR60904,Suhani Oza,WYWQI1618A,519863482284,1996-03-21,Ludhiana,Punjab,,Self Employed,2026-03-31 00:00:00,Verified,Low
REC100151,USR68308,Sim0n Ramanathan,LQESD0778U,755842264622,2005-10-17,Delhi,Delhi,22653.0,Gig Worker,2025-02-15 00:00:00,Verified,Medium
REC100152,USR73563,Unnati Kala,MFVPE2019P,,1969-06-19,Mumbai,Maharashtra,24100.0,Freelancer,,In Progress,Low
REC100153,USR70255,Ekani Dua,ACUZI3478D,,1975-01-02,Chennai,Tamil Nadu,25961.0,Freelancer,2025-03-19 00:00:00,Verified,Medium
REC100154,USR66657,Shivansh Goda,TDJCU7352U,760680175158,1972-04-10,Jaipur,Rajasthan,27055.0,Student,2024-09-26 03:09:00,Verified,Low
REC100155,USR50077,Fiyaz Sunder,,236728535785,1962-05-11,Chennai,Tamil Nadu,15682.0,Farmer,2024-11-28 18:59:06,Pending,Low
REC100156,USR81075,Ishani Naidu,LOLHX7170K,257104790985,2004-02-17,Lucknow,Uttar Pradesh,40563.0,Unemployed,2024-12-22 23:51:00,Verified,High
REC100157,USR93584,Neel Deo,AFBMT0794B,,1992-08-21,Mumbai,Maharashtra,46356.0,Retired,2024-08-09 16:28:08,Verified,Low
REC100158,USR88185,Vinaya Dora,KIYZN4444E,195238355149,1982-12-13,Mumbai,Maharashtra,18104.0,Farmer,2024-07-02 00:00:00,Verified,Low
REC100159,USR79161,Liam Goyal,LYIMT9308V,816006457893,2001-12-07,Lucknow,Uttar Pradesh,9335.0,Student,2026-02-21 00:00:00,In Progress,Unknown
REC100160,USR50757,Barkha Parmer,UNJBD0770C,180664357027,1967-11-11,Chennai,Tamil Nadu,21395.0,Self Employed,2025-01-23 00:00:00,Pending,Low
REC100161,USR10799,Indira Cheema,GCEYH8996T,014014541696,2004-08-04,Lucknow,Uttar Pradesh,27782.0,Unemployed,2025-12-28 00:00:00,Pending,Medium
REC100162,USR88938,Jagat Kapoor,RCVDY9085U,691463251198,1994-02-03,Chennai,Tamil Nadu,50341.0,Freelancer,2025-08-03 21:44:39,Verified,Medium
REC100163,USR22437,Samarth Saraf,KLAWR0922Q,046248566958,1978-01-24,Amritsar,Punjab,,Farmer,2024-01-06 00:00:00,Verified,Medium
REC100164,USR18684,Lipika Balasubramanian,UADKZ7560A,,1966-07-28,Ludhiana,Punjab,16244.0,Business Owner,2026-02-11 02:43:34,In Progress,Low
REC100165,USR54714,Yochana Nagy,OOSCD5853V,,1993-03-01,Chennai,Tamil Nadu,27270.0,Unemployed,2024-12-16 00:00:00,Verified,Medium
REC100166,USR46227,Vyanjana Dewan,FLWTU6763C,181421437210,1982-02-19,Jalandhar,Punjab,29239.0,Freelancer,2024-12-27 20:02:00,Verified,Low
REC100167,USR92736,Krish Ganesh,BCYTK0743V,,2006-04-01,Pune,Maharashtra,19462.0,Gig Worker,,Verified,Low
REC100168,USR68243,Farhan Sarma,QDGQV8153T,,1963-11-14,Kolkata,West Bengal,15953.0,Farmer,2025-12-01 02:10:39,Verified,Low
REC100169,USR54662,Kalpit Johal,WSIZM8377T,,2005-01-05,Chennai,Tamil Nadu,69040.0,Gig Worker,,Verified,Low
REC100170,USR49692,Pranav Ahuja,KNWTL7986M,366181592977,1988-03-31,Lucknow,Uttar Pradesh,78295.0,Farmer,2025-01-07 00:00:00,Verified,High
REC100171,USR78411,Rehaan Singhal,LVAXX6013A,652002839194,1965-12-26,Jalandhar,Punjab,40100.0,Salaried,2025-10-02 00:00:00,Verified,High
